symbol,name,website_slug,rank,circulating_supply,total_supply,max_supply,usd_price,usd_volume_24h,usd_market_cap,usd_percent_change_24h,usd_percent_change_7d,btc_price,btc_percent_change_24h,btc_percent_change_7d,perc_market_cap_top100
BTC,Bitcoin,bitcoin,1,17085800,17085800,21000000.0,7250.76,4515270000.0,123885035208,-4.78,-6.1,1.0,0.0,0.0,40.63420263987671
ETH,Ethereum,ethereum,2,99989012,99989012,,569.914,1761450000.0,56985137998,-5.6,-7.89,0.0786005881,-0.86,-1.9,18.69108436692394
XRP,Ripple,ripple,3,39244312603,99991958570,100000000000.0,0.619604,314528000.0,24315933066,-7.16,-6.73,8.54537e-05,-2.5,-0.67,7.975608594876662
BCH,Bitcoin Cash,bitcoin-cash,4,17176063,17176063,21000000.0,1030.88,540695000.0,17706459310,-7.6,-11.02,0.1421754409,-2.96,-5.24,5.807705946317639
EOS,EOS,eos,5,896149492,900000000,1000000000.0,13.1007,1474440000.0,11740185652,-8.61,-11.37,0.0018068037,-4.02,-5.61,3.850772468298374
LTC,Litecoin,litecoin,6,56921373,56921373,84000000.0,113.569,293057000.0,6464503421,-4.91,-9.84,0.0156630477,-0.13,-3.98,2.1203524827196194
ADA,Cardano,cardano,7,25927070538,31112483745,45000000000.0,0.190572,92786400.0,4940973687,-7.0,-17.5,2.6283e-05,-2.33,-12.14,1.6206358233564249
XLM,Stellar,stellar,8,18603391487,104005988066,,0.265457,46258000.0,4938400494,-7.2,-13.03,3.66109e-05,-2.54,-7.38,1.6197918178991237
MIOTA,IOTA,iota,9,2779530283,2779530283,2779530283.0,1.49531,105715000.0,4156259427,-10.74,-21.09,0.000206228,-6.26,-15.96,1.3632501092408769
TRX,TRON,tron,10,65748111645,100000000000,,0.053058,227821000.0,3488463308,-8.38,-15.17,7.3176e-06,-3.78,-9.66,1.1442134614648998
NEO,NEO,neo,11,65000000,100000000,100000000.0,49.1302,81558800.0,3193463000,-6.09,-13.8,0.006775869,-1.37,-8.2,1.0474535721532328
USDT,Tether,tether,12,2507140346,2830109502,,1.00376,2652910000.0,2516567193,0.06,0.5,0.0001384351,5.09,7.03,0.8254322332438121
DASH,Dash,dash,13,8125732,8125732,18900000.0,296.064,67513700.0,2405736623,-1.97,-10.83,0.0408321335,2.96,-5.04,0.7890798858233852
XMR,Monero,monero,14,16117898,16117898,,147.246,36517900.0,2373296040,-7.03,-14.38,0.0203076643,-2.36,-8.82,0.7784393978809592
XEM,NEM,nem,15,8999999999,8999999999,,0.233388,20355200.0,2100492000,-7.83,-12.94,3.21881e-05,-3.2,-7.28,0.688959868543737
VEN,VeChain,vechain,16,547165525,873378637,,3.62859,122414000.0,1985439354,-7.75,-7.36,0.0005004427,-3.12,-1.34,0.6512226832253597
BNB,Binance Coin,binance-coin,17,114041290,194972068,,14.9794,67123100.0,1708270101,-7.99,2.29,0.0020659076,-3.37,8.94,0.560311367156912
ETC,Ethereum Classic,ethereum-classic,18,102189751,102189751,,14.448,117794000.0,1476437522,-5.45,-10.92,0.0019926187,-0.7,-5.13,0.4842704476237762
QTUM,Qtum,qtum,19,88659548,100659548,,12.6161,123858000.0,1118537724,-6.05,-14.5,0.0017399693,-1.33,-8.94,0.3668795707330715
ONT,Ontology,ontology,20,151292175,1000000000,,7.35119,113709000.0,1112177523,-10.74,-9.01,0.001013851,-6.26,-3.1,0.36479342936958536
OMG,OmiseGO,omisego,21,102042552,140245398,,10.2273,29602900.0,1043619790,-6.72,-14.42,0.0014105142,-2.03,-8.86,0.34230654214728856
BCN,Bytecoin,bytecoin-bcn,22,183890481254,183890481254,184470000000.0,0.00517861,13385000.0,952297085,-8.54,-20.27,7.142e-07,-3.94,-15.09,0.31235276044668775
ZEC,Zcash,zcash,23,4106406,4106406,,224.965,55603200.0,923797682,-4.77,-12.19,0.0310264027,0.01,-6.48,0.3030049767158023
ICX,ICON,icon,24,387231348,400228740,,2.3288,28869700.0,901784364,-7.44,-17.85,0.0003211801,-2.79,-12.51,0.2957846242100601
ZIL,Zilliqa,zilliqa,25,7355568444,12600000000,,0.115242,39784300.0,847670419,-7.44,-10.9,1.58938e-05,-2.79,-5.11,0.2780352890859163
LSK,Lisk,lisk,26,106796548,122046164,,7.89389,15143100.0,843040206,-6.47,-18.84,0.0010886983,-1.77,-13.57,0.2765165825448728
AE,Aeternity,aeternity,27,233020472,273685830,,3.19651,12847900.0,744852269,-9.15,-9.8,0.0004408517,-4.59,-3.94,0.2443110096752305
DCR,Decred,decred,28,7145743,7565743,21000000.0,101.135,4339030.0,722684709,-4.11,1.18,0.013948193,0.71,7.75,0.23704006590418286
BTG,Bitcoin Gold,bitcoin-gold,29,17057724,17157724,21000000.0,40.9462,13302800.0,698448962,-6.32,-12.39,0.0056471597,-1.61,-6.7,0.2290907582814072
ZRX,0x,0x,30,531448725,1000000000,,1.15321,13298900.0,612871984,-8.66,-13.29,0.0001590468,-4.07,-7.66,0.20102157091328093
